"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Morgan","CO",28295,28769,29068,29072,28995,29239,29428,29428
"Morgan","GA",18373,18831,19276,20198,20654,21031,21256,21256
"Morgan","IL",34245,34027,33658,32838,32599,32209,32127,32127
"Morgan","IN",69793,70137,70489,71848,72260,72236,72545,72545
"Morgan","KY",13230,13372,13309,13729,13682,14120,14164,14164
"Morgan","MO",20162,20414,20627,20990,21417,21785,21850,21850
"Morgan","OH",14644,14581,14508,13756,13689,13668,13703,13703
"Morgan","TN",21555,21534,21403,21038,21101,21224,21451,21451
"Morgan","UT",11829,11956,12124,12381,12667,12832,12973,12973
"Morgan","WV",17716,17830,17884,17087,17280,17430,17381,17381
"Morrill","NE",4796,4674,4642,4553,4573,4527,4552,4552
"Morris","KS",5467,5557,5620,5367,5362,5349,5356,5356
"Morris","NJ",493920,493070,491845,508384,510444,511151,512760,512760
"Morris","TX",12375,12303,12388,11972,12009,12083,12274,12274
"Morrison","MN",33084,33158,33386,33995,34071,34246,34371,34371
"Morrow","OH",34911,35113,35328,34973,35197,35339,35429,35429
"Morrow","OR",11198,11360,11603,12220,12358,12300,12281,12281
"Morton","KS",2747,2693,2587,2697,2669,2599,2603,2603
"Morton","ND",30938,31058,31364,33313,33560,33710,33912,33912
"Motley","TX",1226,1232,1200,1063,1065,1032,1049,1049
"Moultrie","IL",14701,14648,14501,14476,14509,14323,14287,14287
"Mountrail","ND",10276,10239,10545,9807,9593,9290,9346,9346
"Mower","MN",39773,40142,40062,40054,40214,40140,40286,40286
"Muhlenberg","KY",30925,30811,30622,30886,30072,30455,30549,30549
"Multnomah","OR",807885,809072,812855,816467,805593,795083,793812,793812
"Murray","GA",39803,39943,40096,40012,40032,40472,40904,40904
"Murray","MN",8332,8254,8194,8172,8145,8060,8090,8090
"Murray","OK",13918,13968,14073,13877,13712,13672,13788,13788
"Muscatine","IA",42872,42874,42664,43141,42688,42377,42463,42463
"Muscogee","GA",193836,194169,195769,206998,205024,202616,204777,204777
"Muskegon","MI",173645,173599,173566,175848,176612,176565,176621,176621
"Muskingum","OH",86123,86131,86215,86450,86574,86113,86332,86332
"Muskogee","OK",69027,68324,67997,66241,66255,66354,66916,66916
"Musselshell","MT",4632,4632,4633,4745,4912,5197,5244,5244
"Nacogdoches","TX",65317,65161,65204,64619,64699,64862,65886,65886
"Nance","NE",3561,3506,3519,3390,3380,3326,3344,3344
"Nantucket","MA",11205,11198,11399,14237,14499,14421,14462,14462
"Napa","CA",139878,138789,137744,137485,136206,134300,134080,134080
"Nash","NC",94019,94094,94298,95148,95227,95789,97012,97012
"Nassau","FL",82925,85936,88625,91027,94393,97899,99510,99510
"Nassau","NY",1357293,1357534,1356924,1390559,1391112,1383726,1376277,1376277
"Natchitoches Parish","LA",39042,38616,38158,37388,36995,36663,36532,36532
"Natrona","WY",79586,79175,79858,80282,79660,79601,79968,79968
"Naugatuck Valley Planning Region","CT",NA,NA,NA,449896,452894,454083,452953,452953
"Navajo","AZ",109079,110242,110924,106762,107621,108650,109716,109716
"Navarro","TX",48739,49536,50113,52828,53616,54636,55498,55498
"Nelson","KY",45591,45813,46233,46784,47149,47392,47538,47538
"Nelson","ND",2902,2885,2879,2993,3044,2995,3013,3013
"Nelson","VA",14800,14862,14930,14737,14800,14652,14707,14707
"Nemaha","KS",10060,10125,10231,10265,10216,10115,10127,10127
"Nemaha","NE",6957,6957,6972,7085,7000,7035,7073,7073
"Neosho","KS",16094,16025,16007,15905,15779,15606,15625,15625
"Neshoba","MS",29435,29151,29118,28988,28863,28673,28670,28670
"Ness","KS",2856,2796,2750,2667,2651,2645,2649,2649
"Nevada","AR",8309,8308,8252,8285,8195,8181,8241,8241
"Nevada","CA",99367,99508,99755,102249,103457,102293,102125,102125
"New Castle","DE",555976,557550,558753,570873,572714,575494,583120,583120
"New Hanover","NC",228728,232256,234473,226307,229930,234921,237919,237919
"New Haven","CT",857748,856971,854757,NA,NA,NA,NA,NA
"New Kent","VA",21638,22317,23091,23119,23979,24986,25079,25079
"New London","CT",267419,266285,265206,NA,NA,NA,NA,NA
"New Madrid","MO",17544,17272,17076,16331,16024,15695,15742,15742
"New York","NY",1630698,1629055,1628706,1677306,1578801,1596273,1587680,1587680
"Newaygo","MI",48320,48839,48980,50095,50468,50886,50902,50902
"Newberry","SC",38381,38443,38440,37731,37957,38247,38906,38906
"Newport","RI",82952,82547,82082,85508,85662,84481,84654,84654
"Newport News city","VA",179447,178523,179225,186033,184764,184306,184987,184987
"Newton","AR",7815,7800,7753,7193,7164,7078,7130,7130
"Newton","GA",107846,109421,111744,112843,115318,117621,118876,118876
"Newton","IN",14027,13986,13984,13786,13793,13823,13882,13882
"Newton","MO",58191,58158,58236,58684,59437,60011,60188,60188
"Newton","MS",21396,21355,21018,21255,21117,21029,21027,21027
"Newton","TX",13908,13751,13595,12157,12202,12052,12243,12243
"Nez Perce","ID",40289,40256,40408,42141,42509,43004,43574,43574
"Niagara","NY",210848,210060,209281,212125,211891,210880,209745,209745
"Nicholas","KY",7160,7195,7269,7540,7750,7805,7829,7829
"Nicholas","WV",25125,24835,24496,24554,24415,24335,24266,24266
"Nicollet","MN",34052,34199,34274,34504,34373,34441,34566,34566
"Niobrara","WY",2392,2400,2356,2452,2414,2380,2391,2391
"Noble","IN",47329,47543,47744,47453,47419,47367,47570,47570
"Noble","OH",14400,14347,14424,14086,14312,14335,14372,14372
"Noble","OK",11303,11279,11131,10922,10942,10896,10989,10989
"Nobles","MN",21671,21744,21629,22207,22047,21947,22027,22027
"Nodaway","MO",22401,22223,22092,21000,20984,20670,20731,20731
"Nolan","TX",14854,14799,14714,14723,14600,14473,14702,14702
"Nome Census Area","AK",10025,10053,10004,10028,9908,9835,9833,9833
"Norfolk","MA",700599,703230,706775,724322,724692,725531,727550,727550
"Norfolk city","VA",244543,243585,242742,237738,235025,232995,233856,233856
"Norman","MN",6589,6479,6375,6435,6442,6377,6401,6401
"North Slope Borough","AK",9795,9850,9832,11002,11011,10805,10803,10803
"Northampton","NC",19890,19698,19483,17435,17093,16779,16994,16994
"Northampton","PA",302801,304564,305285,312774,318051,318526,318273,318273
"Northampton","VA",11872,11761,11710,12208,12039,11900,11944,11944
"Northeastern Connecticut Planning Region","CT",NA,NA,NA,95274,95708,96196,95957,95957
"Northumberland","PA",91721,91080,90843,91542,91013,90133,90062,90062
"Northumberland","VA",12271,12168,12095,11838,12046,12302,12348,12348
"Northwest Arctic Borough","AK",7795,7694,7621,7790,7560,7423,7422,7422
"Northwest Hills Planning Region","CT",NA,NA,NA,112269,112974,113234,112953,112953
"Norton","KS",5421,5419,5361,5453,5369,5301,5308,5308
"Norton city","VA",3918,3972,3981,3680,3631,3609,3623,3623
"Note: The estimates are developed from a base that incorporates the 2020 Census",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nottoway","VA",15432,15400,15232,15639,15584,15559,15617,15617
"Nowata","OK",10322,10278,10076,9322,9387,9483,9564,9564
"Noxubee","MS",10711,10550,10417,10228,10114,9990,9989,9989
"Nuckolls","NE",4269,4207,4148,4090,4063,4041,4063,4063
"Nueces","TX",361235,362026,362294,353376,353230,351674,357222,357222
"Nye","NV",43977,45186,46523,51960,53277,54738,55021,55021
"O'Brien","IA",13774,13798,13753,14154,14062,14060,14089,14089
"Oakland","MI",1256016,1256694,1257584,1272413,1271891,1269431,1269830,1269830
"Obion","TN",30375,30274,30069,30767,30498,30394,30718,30718
"Ocean","NJ",595424,601478,607186,638422,649741,655735,657799,657799
"Oceana","MI",26422,26555,26467,26713,26884,26973,26982,26982
"Ochiltree","TX",9996,9866,9836,9954,9763,9606,9758,9758
"Oconee","GA",38122,39478,40280,42013,43025,43588,44053,44053
"Oconee","SC",77388,78307,79546,78778,79322,80180,81561,81561
"Oconto","WI",37531,37824,37930,39080,39393,39633,39757,39757
"Ogemaw","MI",20882,20882,20997,20779,20783,20970,20977,20977
"Oglala Lakota","SD",14384,14331,14177,13645,13549,13519,13661,13661
"Ogle","IL",50993,50781,50643,51694,51474,51351,51219,51219
"Oglethorpe","GA",14874,15080,15259,14867,15142,15469,15634,15634
"Ohio","IN",5854,5879,5875,5922,5992,6114,6141,6141
"Ohio","KY",24116,24064,23994,23746,23730,23527,23600,23600
"Ohio","WV",42001,41705,41411,42338,41878,41447,41329,41329
"Okaloosa","FL",203478,206934,210738,212071,213647,216482,220043,220043
"Okanogan","WA",41915,42117,42243,42146,42741,43127,43278,43278
"Okeechobee","FL",41275,41654,42168,39642,40044,40412,41077,41077
"Okfuskee","OK",12076,12081,11993,11271,11196,11134,11229,11229
"Oklahoma","OK",786068,790593,797434,798200,799622,802559,809352,809352
"Okmulgee","OK",38819,38321,38465,36686,36827,36990,37304,37304
"Oktibbeha","MS",49678,49249,49587,51698,51808,51427,51421,51421
"Oldham","KY",66557,66512,66799,67692,68232,69431,69645,69645
"Oldham","TX",2104,2118,2112,1764,1730,1752,1780,1780
"Oliver","ND",1930,1945,1959,1869,1873,1856,1868,1868
"Olmsted","MN",154727,156358,158293,163028,163620,164020,164615,164615
"Oneida","ID",4389,4462,4531,4562,4588,4712,4775,4775
"Oneida","NY",230011,229474,228671,231575,229942,228846,227614,227614
"Oneida","WI",35236,35444,35595,37872,38282,38212,38332,38332
"Onondaga","NY",461795,461649,460528,474316,472094,468249,465729,465729
"Onslow","NC",195066,196915,197938,204937,204660,207298,209944,209944
"Ontario","NY",109538,109738,109777,112327,112660,112707,112101,112101
"Ontonagon","MI",5889,5801,5720,5805,5855,5863,5865,5865
"Orange","CA",3174289,3175973,3175692,3185516,3161005,3151184,3146005,3146005
"Orange","FL",1355921,1381540,1393452,1431573,1427928,1452726,1476622,1476622
"Orange","IN",19423,19548,19646,19848,19812,19623,19707,19707
"Orange","NC",143626,147980,148476,143583,148610,150477,152398,152398
"Orange","NY",379758,382126,384940,401088,404997,405941,403756,403756
"Orange","TX",84971,83474,83396,84747,84641,84934,86274,86274
"Orange","VA",35870,36598,37051,36391,37189,37991,38132,38132
"Orange","VT",28964,28888,28892,29299,29625,29846,29865,29865
"Orangeburg","SC",87671,87013,86175,83956,82798,83094,84525,84525
"Oregon","MO",10553,10558,10529,8611,8639,8732,8758,8758
"Orleans","NY",40786,40655,40352,40225,39711,39318,39107,39107
"Orleans","VT",26811,26859,27037,27404,27601,27666,27684,27684
"Orleans Parish","LA",391493,391004,390144,383218,377063,369749,368421,368421
"Osage","KS",15842,15938,15949,15746,15746,15654,15673,15673
"Osage","MO",13658,13652,13615,13265,13409,13399,13439,13439
"Osage","OK",47346,47121,46963,45778,45868,45839,46227,46227
"Osborne","KS",3539,3459,3421,3497,3485,3490,3495,3495
"Osceola","FL",353623,368456,375751,391118,404020,422545,429496,429496
"Osceola","IA",6021,6028,5958,6202,6163,6036,6049,6049
"Osceola","MI",23267,23377,23460,22906,23176,23274,23282,23282
"Oscoda","MI",8238,8224,8241,8239,8328,8404,8407,8407
"Oswego","NY",118427,117515,117124,117440,118124,118287,117651,117651
"Otero","CO",18345,18338,18278,18667,18536,18303,18422,18422
"Otero","NM",66121,66659,67490,67873,68538,68823,68857,68857
"Otoe","NE",15956,15983,16012,15897,16008,16198,16285,16285
"Otsego","MI",24528,24641,24668,25138,25351,25644,25653,25653
"Otsego","NY",59920,59810,59493,58377,60758,60636,60310,60310
"Ottawa","KS",5817,5752,5704,5728,5834,5795,5802,5802
"Ottawa","MI",286581,289808,291830,296889,298317,300873,300968,300968
"Ottawa","OH",40623,40769,40525,40287,40156,39978,40080,40080
"Ottawa","OK",31368,31319,31127,30229,30400,30338,30595,30595
"Otter Tail","MN",58219,58670,58746,60072,60222,60519,60739,60739
"Ouachita","AR",23817,23620,23382,22614,22344,22049,22209,22209
"Ouachita Parish","LA",155841,154571,153279,160096,158919,157702,157136,157136
"Ouray","CO",4813,4822,4952,4881,5059,5100,5133,5133
"Outagamie","WI",185816,186879,187885,190961,191309,192127,192728,192728
"Overton","TN",21998,22068,22241,22592,22856,23044,23290,23290
"Owen","IN",20791,20862,20799,21314,21432,21482,21574,21574
"Owen","KY",10794,10881,10901,11304,11307,11290,11325,11325
"Owsley","KY",4402,4474,4415,4031,3967,3929,3942,3942
"Owyhee","ID",11618,11669,11823,11994,12348,12613,12781,12781
"Oxford","ME",57534,57754,57975,57894,58719,59495,59941,59941
"Ozark","MO",9227,9070,9174,8520,8774,8940,8967,8967
"Ozaukee","WI",88443,89059,89221,91613,92551,93009,93300,93300
"Pacific","WA",21742,22074,22471,23491,23971,24113,24197,24197
"Page","IA",15213,15229,15107,15196,15215,15143,15174,15174
"Page","VA",23784,23972,23902,23687,23801,23750,23838,23838
"Palm Beach","FL",1470344,1482876,1496770,1494173,1503223,1518477,1543455,1543455
"Palo Alto","IA",9052,8903,8886,8989,8909,8764,8782,8782
"Palo Pinto","TX",28544,28874,29189,28445,28676,29239,29701,29701
"Pamlico","NC",12638,12633,12726,12303,12347,12381,12539,12539
"Panola","MS",34158,34156,34192,33171,32919,32661,32657,32657
"Panola","TX",23211,23142,23194,22492,22538,22677,23035,23035
"Park","CO",17894,18525,18845,17419,17758,17939,18055,18055
"Park","MT",16386,16648,16606,17224,17531,17790,17948,17948
"Park","WY",29194,29210,29194,29664,30142,30518,30659,30659
"Parke","IN",16907,16978,16937,16155,16486,16369,16439,16439
"Parker","TX",133501,138070,142878,149547,156966,165834,168451,168451
"Parmer","TX",9710,9719,9605,9854,9779,9620,9772,9772
"Pasco","FL",525141,539090,553947,566126,584927,608794,618808,618808
"Pasquotank","NC",39386,39583,39824,40577,40746,40938,41461,41461
"Passaic","NJ",504402,503183,501826,523406,518345,513936,515554,515554
"Patrick","VA",17713,17663,17608,17583,17668,17643,17709,17709
"Paulding","GA",159509,164053,168667,169570,173921,178421,180324,180324
"Paulding","OH",18831,18742,18672,18805,18886,18757,18805,18805
"Pawnee","KS",6665,6573,6414,6261,6246,6179,6187,6187
"Pawnee","NE",2621,2623,2613,2536,2540,2528,2542,2542
"Pawnee","OK",16419,16356,16376,15552,15761,15757,15891,15891
"Payette","ID",23163,23507,23951,25583,26377,26956,27314,27314
"Payne","OK",81908,82172,81784,81645,82149,82794,83495,83495
"Peach","GA",26961,27363,27546,28040,28245,28562,28867,28867
"Pearl River","MS",55255,55323,55535,56198,56505,57261,57254,57254
"Pecos","TX",15634,15709,15823,15185,15126,14735,14968,14968
"Pembina","ND",6962,6895,6801,6823,6775,6763,6804,6804
"Pemiscot","MO",16783,16256,15805,15585,15225,14841,14885,14885
"Pend Oreille","WA",13358,13586,13724,13506,13906,14179,14229,14229
"Pender","NC",60719,62017,63060,60642,63072,65737,66576,66576
"Pendleton","KY",14602,14588,14590,14652,14611,14676,14722,14722
"Pendleton","WV",6973,6984,6969,6132,6078,6011,5994,5994
"Pennington","MN",14178,14173,14119,13950,13806,13845,13896,13896
"Pennington","SD",110503,111950,113775,109563,111854,114461,115656,115656
"Penobscot","ME",151645,151817,152148,152165,152834,153704,154856,154856
"Peoria","IL",182525,180620,179179,181322,179764,178383,177925,177925
"Pepin","WI",7246,7304,7287,7347,7386,7410,7434,7434
"Perkins","NE",2886,2902,2891,2863,2822,2829,2845,2845
"Perkins","SD",2962,2908,2865,2842,2823,2804,2834,2834
"Perquimans","NC",13439,13381,13463,13016,13126,13210,13379,13379
"Perry","AL",9302,9070,8923,8458,8317,8035,8090,8090
"Perry","AR",10346,10380,10455,10000,9989,10063,10137,10137
"Perry","IL",21281,21144,20916,20882,21033,20588,20536,20536
"Perry","IN",18978,19077,19169,19151,19317,19183,19265,19265
"Perry","KY",26586,26208,25758,28360,27906,27361,27445,27445
"Perry","MO",19262,19274,19136,18969,18956,18858,18914,18914
"Perry","MS",12014,11918,11973,11458,11490,11368,11367,11367
"Perry","OH",35972,36039,36134,35448,35454,35480,35571,35571
"Perry","PA",46046,46154,46272,45828,45941,46114,46078,46078
"Perry","TN",7954,8050,8076,8379,8473,8685,8778,8778
"Pershing","NV",6469,6685,6725,6622,6442,6462,6496,6496
"Person","NC",39338,39436,39490,39187,39172,39386,39889,39889
"Petersburg Borough","AK",3264,3244,3266,3405,3373,3360,3360,3360
"Petersburg city","VA",31137,31056,31346,33388,33367,33394,33518,33518
"Petroleum","MT",512,512,487,500,522,524,529,529
"Pettis","MO",42445,42441,42339,43001,43206,43353,43481,43481
"Phelps","MO",44551,44551,44573,44560,44949,45313,45447,45447
"Phelps","NE",9050,9006,9034,8972,8933,8988,9036,9036
"Philadelphia","PA",1580601,1583592,1584064,1600600,1589480,1567258,1566011,1566011
"Phillips","AR",18599,18054,17782,16443,15822,15304,15416,15416
"Phillips","CO",4288,4285,4265,4531,4508,4449,4478,4478
"Phillips","KS",5370,5276,5234,4977,4845,4809,4815,4815
"Phillips","MT",4113,4060,3954,4208,4216,4240,4278,4278
"Piatt","IL",16422,16366,16344,16674,16781,16723,16681,16681
"Pickaway","OH",57740,58077,58457,58646,58770,60023,60176,60176
"Pickens","AL",20204,19980,19930,18922,18615,18697,18823,18823
"Pickens","GA",31541,32014,32591,33339,33990,34826,35198,35198
"Pickens","SC",123518,125225,126884,131669,132079,133462,135760,135760
"Pickett","TN",5062,5053,5048,5002,5082,5107,5162,5162
"Pierce","GA",19197,19388,19465,19746,19975,20168,20384,20384
"Pierce","ND",4096,4070,3975,3968,3943,3942,3966,3966
"Pierce","NE",7093,7145,7148,7340,7316,7332,7371,7371
"Pierce","WA",879654,893756,904980,923524,927199,927380,930608,930608
"Pierce","WI",42016,42592,42754,42223,41606,42532,42665,42665
"Pike","AL",33349,33242,33114,32906,32740,33014,33237,33237
"Pike","AR",10735,10666,10718,10172,10121,10179,10253,10253
"Pike","GA",18204,18647,18962,18936,19534,19990,20204,20204
"Pike","IL",15668,15595,15561,14641,14609,14484,14447,14447
"Pike","IN",12315,12388,12389,12247,12178,12168,12220,12220
"Pike","KY",58905,58492,57876,58443,57362,56286,56459,56459
"Pike","MO",18557,18502,18302,17408,17602,17664,17717,17717
"Pike","MS",39510,39380,39288,40190,39957,39644,39640,39640
"Pike","OH",28088,27932,27772,27069,27059,27005,27074,27074
"Pike","PA",55397,55780,55809,58560,59965,60558,60510,60510
"Pima","AZ",1026391,1036554,1047279,1045175,1048895,1057597,1067966,1067966
"Pinal","AZ",431564,446806,462789,429446,448144,464154,468705,468705
"Pine","MN",29159,29468,29579,28889,29034,29446,29553,29553
"Pinellas","FL",968341,973058,974996,959465,959046,961739,977559,977559
"Pipestone","MN",9157,9127,9126,9414,9352,9355,9389,9389
"Piscataquis","ME",16804,16746,16785,16805,17184,17417,17548,17548
"Pitkin","CO",17973,17976,17767,17354,17350,16876,16985,16985
"Pitt","NC",178607,179575,180742,170378,172273,173542,175757,175757
"Pittsburg","OK",44154,43870,43654,43784,43695,43613,43983,43983
"Pittsylvania","VA",61309,60901,60354,60365,60090,59952,60174,60174
"Piute","UT",1407,1438,1479,1433,1482,1487,1504,1504
"Placer","CA",385115,392330,398329,405889,412789,417772,417086,417086
"Plaquemines Parish","LA",23348,23385,23197,23458,23284,22516,22436,22436
"Platte","MO",101141,102764,104418,107168,108720,110534,110860,110860
"Platte","NE",33231,33287,33470,34283,34282,34296,34479,34479
"Platte","WY",8541,8516,8393,8632,8674,8645,8685,8685
"Pleasants","WV",7455,7505,7460,7652,7612,7586,7565,7565
"Plumas","CA",18660,18741,18807,19749,19940,19351,19320,19320
"Plymouth","IA",25060,25024,25177,25689,25714,25681,25734,25734
