branch_code,month,defaultlo,sumfines,pre_plaz,nmembers,credentry,cred_use,female,married,divorced,age,educ0,educ2,newgroup,newclnt,int_mont
43,493,0,45.117001,9.6000004,4.5999999,15386,0,.69999999,.60000002,0,39.400002,.2,0,0,0,5500
43,494,.17391305,60.575218,6.7826085,2.5652175,15386,0,.39130434,.86956519,.043478262,37.04348,.26086956,.17391305,0,0,27267.85714285714
43,495,.26666668,175.08267,8.1333332,2.2,15386,0,.33333334,.73333335,0,32.866665,.13333334,.33333334,0,0,12500
43,496,.1,98.469505,9.3000002,3.0999999,15386,0,.44999999,.85000002,0,40.894737,.2,0,0,0,22714.28571428572
43,497,.054054055,93.889999,6.2162161,4.1351352,15386,0,.51351351,.86486489,0,40.864864,.37837839,.081081077,0,0,29517.85714285714
43,498,.38461539,227.80229,10.615385,2.8461537,15386,0,.38461539,.69230771,0,40.46154,.15384616,.15384616,0,0,36553.57142857143
43,499,.13793103,32.556206,7.3793101,3.7586207,15386,0,.41379312,.75862068,0,36.413792,.31034482,.10344828,0,0,30232.14285714286
43,500,.38461539,74.07077,8,2.3846154,15386,0,.46153846,.84615386,.15384616,39.76923,.30769232,.30769232,0,0,15535.71428571429
43,501,.125,71.155624,8.375,2.5,15386,0,.1875,.8125,0,37.733334,.25,.1875,0,.3125,17321.42857142857
43,502,.375,70.349373,10.875,2.125,15386,0,.375,.875,0,35.3125,.125,.3125,1,.75,17946.42857142857
43,503,.12,66.416,8.8400002,3.3199999,15386,0,.40000001,.83999997,0,37.040001,.31999999,.16,0,.31999999,24017.85714285714
43,504,.17777778,133.53378,12.355556,2.6444445,15386,0,.35555556,.86666667,.044444446,40.466667,.22222222,.17777778,.54166669,.75555557,54607.14285714286
43,505,.42105263,315.50421,12.315789,2.8947368,15386,0,.57894737,.84210527,0,34.473682,.10526316,.31578946,0,.47368422,28571.42857142857
